"GRID.STA","LON","LAT"
"gt127",-160.4196,54.81492
"gt135",-159.618,55.29875
"gt137",-159.416,55.4197
"gt139",-159.2135,55.54066
"gt141",-159.0103,55.66162
"gt145",-158.6021,55.90353
"gt151",-157.9849,56.2664
"gt153",-157.7779,56.38736
"gt155",-157.5702,56.50831
"gt163",-156.75,56.85
"gt169",-156.0833,57.355
"gt171",-155.7667,57.45
"gt173",-155.4667,57.6167
"gu158",-157.2167,56.6667
"gv117",-161.1729,54.09536
"gv119",-160.9769,54.21631
"gv121",-160.7803,54.33727
"gv123",-160.5831,54.45823
"gv125",-160.3854,54.57918
"gv127",-160.187,54.70014
"gv129",-159.9881,54.82109
"gv131",-159.7886,54.94205
"gv137",-159.1863,55.30492
"gv139",-158.9844,55.42588
"gv141",-158.7818,55.54683
"gv143",-158.5786,55.66779
"gv145",-158.3747,55.78875
"gv147",-158.1702,55.9097
"gv149",-157.9651,56.03066
"gv151",-157.7594,56.15162
"gv153",-157.553,56.27257
"gv155",-157.3459,56.39353
"gv159",-156.9298,56.63544
"gv161",-156.7208,56.7564
"gv163",-156.5111,56.87735
"gv165",-156.3007,56.99831
"gv167",-156.0896,57.11927
"gv169",-155.8778,57.24022
"gv171",-155.6653,57.36118
"gv173",-155.4521,57.48214
"gv175",-155.2383,57.60309
"gv177",-155.0237,57.72405
"gv179",-154.8083,57.84501
"gv189",-153.7208,58.44979
"gv191",-153.5011,58.57074
"gv193",-153.2805,58.6917
"gv195",-153.0593,58.81266
